cas,chemical_name,wave,original_status,phase4_status,merge_cluster_id,representative_cas,independent_evidence,section10_evidence,marginal_coverage,reason,confidence
10294-26-5,SILVER SULFATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,10112-91-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((42, 47)) 대표물질 10112-91-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
1304-82-1,BISMUTH TELLURIDE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,7439-92-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
1002-89-7,AMMONIUM STEARATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,10361-37-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10025-73-7,CHROMIC CHLORIDE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,10361-37-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10101-63-0,LEAD IODIDE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,10361-37-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10102-50-8,FERROUS ARSENATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,10361-37-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
13007-92-6,CHROMIUM CARBONYL,wave1,REVIEW,REVIEW_REQUIRED,,1271-28-9,False,no_data,none(non-sole-group-member),대체물질로 지목된 1271-28-9(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,14018-95-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10102-49-5,FERRIC ARSENATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
101-02-0,TRIPHENYL PHOSPHITE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,301-13-3,False,no_data,none(non-sole-group-member),"동일 그룹조합((59, 66)) 대표물질 301-13-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10102-20-2,SODIUM TELLURITE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,10026-17-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((59, 61)) 대표물질 10026-17-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10431-47-7,POTASSIUM SELENITE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,13718-59-7,False,no_data,none(non-sole-group-member),"동일 그룹조합((65,)) 대표물질 13718-59-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7440-23-5,SODIUM,wave2,DUPLICATE,REMOVE_CONFIRMED,,7439-93-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((40,)) 대표물질 7439-93-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7440-43-9,CADMIUM,wave2,DUPLICATE,REMOVE_CONFIRMED,,7440-47-3,False,no_data,none(non-sole-group-member),"동일 그룹조합((41,)) 대표물질 7440-47-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7440-62-2,VANADIUM (FUME OR DUST),wave2,DUPLICATE,REMOVE_CONFIRMED,,7440-47-3,False,no_data,none(non-sole-group-member),"동일 그룹조합((41,)) 대표물질 7440-47-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7782-49-2,SELENIUM POWDER,wave2,DUPLICATE,REMOVE_CONFIRMED,,7440-47-3,False,no_data,none(non-sole-group-member),"동일 그룹조합((41,)) 대표물질 7440-47-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
13494-80-9,TELLURIUM,wave2,REVIEW,REMOVE_CONFIRMED,,7439-92-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
21908-53-2,"MERCURIC OXIDE, [SOLID]",wave2,DUPLICATE,REVIEW_REQUIRED,,15829-53-5,False,no_data,none(non-sole-group-member),대체물질로 지목된 15829-53-5(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
7440-28-0,THALLIUM,wave2,DUPLICATE,REMOVE_CONFIRMED,,7439-92-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7440-38-2,ARSENIC,wave2,DUPLICATE,REMOVE_CONFIRMED,,7439-92-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7440-55-3,GALLIUM,wave2,DUPLICATE,REMOVE_CONFIRMED,,7439-92-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",wave2,DUPLICATE,REMOVE_CONFIRMED,,7487-94-7,False,no_data,none(non-sole-group-member),"동일 그룹조합((42, 60)) 대표물질 7487-94-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7783-35-9,MERCURIC SULFATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,7487-94-7,False,no_data,none(non-sole-group-member),"동일 그룹조합((42, 60)) 대표물질 7487-94-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7783-36-0,MERCUROUS SULFATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,7487-94-7,False,no_data,none(non-sole-group-member),"동일 그룹조합((42, 60)) 대표물질 7487-94-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10326-21-3,MAGNESIUM CHLORATE,wave2,REVIEW,REMOVE_CONFIRMED,,20816-12-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10361-95-2,ZINC CHLORATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,20816-12-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
1313-60-6,SODIUM PEROXIDE,wave2,REVIEW,REMOVE_CONFIRMED,,17014-71-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((18, 50)) 대표물질 17014-71-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
1314-62-1,VANADIUM PENTOXIDE,wave2,REVIEW,REMOVE_CONFIRMED,,13446-10-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((50, 60)) 대표물질 13446-10-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
13530-65-9,ZINC CHROMATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,14018-95-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
13765-19-0,CALCIUM CHROMATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,14018-95-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
14519-07-4,ZINC BROMATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,20816-12-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
23414-72-4,ZINC PERMANGANATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,20816-12-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
2893-78-9,SODIUM DICHLORO-S-TRIAZINETRIONE,wave2,DUPLICATE,REMOVE_CONFIRMED,,2244-21-5,False,no_data,none(non-sole-group-member),"동일 그룹조합((7, 32, 50, 60)) 대표물질 2244-21-5(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
507-40-4,TERT-BUTYL HYPOCHLORITE,wave2,DUPLICATE,REMOVE_CONFIRMED,,20816-12-0,False,,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
546-67-8,LEAD TETRAACETATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,20816-12-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7775-11-3,SODIUM CHROMATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,7778-66-7,False,no_data,none(non-sole-group-member),"동일 그룹조합((50, 61, 68)) 대표물질 7778-66-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7778-50-9,POTASSIUM BICHROMATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,14018-95-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7778-74-7,POTASSIUM PERCHLORATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,20816-12-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7789-00-6,POTASSIUM CHROMATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,14018-95-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7791-10-8,STRONTIUM CHLORATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,20816-12-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
87-90-1,"TRICHLORO-S-TRIAZINETRIONE, DRY",wave2,DUPLICATE,REMOVE_CONFIRMED,,2244-21-5,False,no_data,none(non-sole-group-member),"동일 그룹조합((7, 32, 50, 60)) 대표물질 2244-21-5(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
13410-01-0,SODIUM SELENATE,wave2,REVIEW,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
13769-43-2,POTASSIUM METAVANADATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
14019-91-1,CALCIUM SELENATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7631-89-2,SODIUM ARSENATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7778-44-1,CALCIUM ARSENATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7784-37-4,MERCURIC ARSENATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7784-44-3,AMMONIUM ARSENATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,7803-55-6,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 60)) 대표물질 7803-55-6(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7790-59-2,POTASSIUM SELENATE,wave2,DUPLICATE,REMOVE_CONFIRMED,,13718-26-8,False,no_data,none(non-sole-group-member),"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
592-87-0,LEAD THIOCYANATE,wave2,DUPLICATE,REVIEW_REQUIRED,,592-85-8,False,no_data,none(non-sole-group-member),대체물질로 지목된 592-85-8(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
7704-34-9,"SULFUR, MOLTEN",wave2,DUPLICATE,REMOVE_CONFIRMED,,10049-05-5,False,no_data,none(non-sole-group-member),"동일 그룹조합((58,)) 대표물질 10049-05-5(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7782-42-5,GRAPHITE (NATURAL),wave2,REVIEW,REVIEW_REQUIRED,,1333-86-4,False,no_data,none(non-sole-group-member),대체물질로 지목된 1333-86-4(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
121-82-4,"CYCLOTRIMETHYLENE TRINITRAMINE, [DESENSITIZED]",wave2,REVIEW,REVIEW_REQUIRED,,100-16-3,False,no_data,none(non-sole-group-member),대체물질로 지목된 100-16-3(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
137-41-7,POTASSIUM N-METHYLDITHIOCARBAMATE,wave2,DUPLICATE,REVIEW_REQUIRED,,128-03-0,False,no_data,none(non-sole-group-member),대체물질로 지목된 128-03-0(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
137-42-8,"METAM SODIUM (COMPOUNDS, WEED, KILLING, LIQUID)",wave2,DUPLICATE,REVIEW_REQUIRED,,128-03-0,False,no_data,none(non-sole-group-member),대체물질로 지목된 128-03-0(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
15825-70-4,"MANITOL HEXANITRATE, [WET WITH &gt;= 40 % WATER OR MIXTURE OF ALCOHOL AND WATER]",wave2,DUPLICATE,REVIEW_REQUIRED,,118-96-7,False,no_data,none(non-sole-group-member),대체물질로 지목된 118-96-7(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
22397-33-7,"3,3,6,6,9,9-HEXAMETHYL-1,2,4,5-TETRAOXACYCLONONANE",wave2,DUPLICATE,REMOVE_CONFIRMED,,110-22-5,False,no_data,none(non-sole-group-member),"동일 그룹조합((53, 68)) 대표물질 110-22-5(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
2691-41-0,"CYCLOTETRAMETHYLENE TETRANITRAMINE, [WET WITH &gt;= 10% WATER]",wave2,DUPLICATE,REVIEW_REQUIRED,,100-16-3,False,no_data,none(non-sole-group-member),대체물질로 지목된 100-16-3(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
628-86-4,"MERCURY FULMINATE, [WET]",wave2,DUPLICATE,REVIEW_REQUIRED,,57-12-5,False,no_data,none(non-sole-group-member),대체물질로 지목된 57-12-5(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
65-30-5,"NICOTINE SULFATE, SOLID",wave2,DUPLICATE,REMOVE_CONFIRMED,,13826-88-5,False,no_data,none(non-sole-group-member),"동일 그룹조합((60, 68)) 대표물질 13826-88-5(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7784-46-5,"SODIUM ARSENITE, AQUEOUS SOLUTION",wave2,DUPLICATE,REMOVE_CONFIRMED,,7681-49-4,False,no_data,none(non-sole-group-member),"동일 그룹조합((61, 68)) 대표물질 7681-49-4(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
78-11-5,PENTAERYTHRITE TETRANITRATE,wave2,DUPLICATE,REVIEW_REQUIRED,,118-96-7,False,,none(non-sole-group-member),대체물질로 지목된 118-96-7(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
79-08-3,BROMOACETIC ACID,wave2,DUPLICATE,REMOVE_CONFIRMED,,76-03-9,False,no_data,none(non-sole-group-member),"동일 그룹조합((2, 31, 68)) 대표물질 76-03-9(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
82-71-3,TRINITRORESORCINOL,wave2,DUPLICATE,REVIEW_REQUIRED,,25550-58-7,False,no_data,none(non-sole-group-member),대체물질로 지목된 25550-58-7(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
831-52-7,SODIUM PICRAMATE,wave2,DUPLICATE,REVIEW_REQUIRED,,63868-82-6,False,no_data,none(non-sole-group-member),대체물질로 지목된 63868-82-6(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
88-89-1,"PICRIC ACID, WETTED WITH NOT LESS THAN 30% WATER BY MASS",wave2,DUPLICATE,REVIEW_REQUIRED,,25550-58-7,False,no_data,none(non-sole-group-member),대체물질로 지목된 25550-58-7(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
99-35-4,"TRINITROBENZENE, WETTED WITH NOT LESS THAN 30% WATER",wave2,DUPLICATE,REVIEW_REQUIRED,,118-96-7,False,no_data,none(non-sole-group-member),대체물질로 지목된 118-96-7(PHASE3_REVIEW) 역시 §10 실질근거가 없는 REVIEW급 — cluster 전체가 근거 빈약해 자동 제거 확정 보류,low
