substance,cameo_group,selection_reason,section10_text,implemented_hazard_relevant,manual_verdict,verdict_reason,error_type,sampling_strata
DIGLYCIDYL RESORCINOL ETHER (101-90-6),"Epoxides;Ethers;Hydrocarbons, Aromatic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(26;28;35)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g26)
BIS(2-CHLORO-1-METHYLETHYL)ETHER (108-60-1),Ethers;Halogenated Organic Compounds,KOSHA MSDS §10 실측 반응성 근거 존재(metal),금속,True,TRUE,§10에 구체적 물질군(metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g28)
1-CHLORO-2-BROMOETHANE (107-04-0),Halogenated Organic Compounds,KOSHA MSDS §10 실측 반응성 근거 존재(metal),금속,True,TRUE,§10에 구체적 물질군(metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g31)
N-EICOSANE (112-95-8),"Hydrocarbons, Aliphatic Saturated",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질|자극성, 독성 가스",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(33)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g33)
N-DECYLBENZENE (104-72-3),"Hydrocarbons, Aromatic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질|분리 그룹(segregation group) : ",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(35)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g35)
BENZOQUINONE (106-51-4),Ketones,KOSHA MSDS §10 실측 반응성 근거 존재(metal),금속,True,TRUE,§10에 구체적 물질군(metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g38)
"ALUMINUM POWDER, COATED (7429-90-5)","Metals, Elemental and Powder, Active",KOSHA MSDS §10 실측 반응성 근거 존재(water),물,True,TRUE,§10에 구체적 물질군(water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g41)
SODIUM NITRITE (7632-00-0),"Nitrate and Nitrite Compounds, Inorganic;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의류 및 그 밖의 가연성 물질로부터 멀리하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|연료",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(43;68)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g43)
4-NITROPHENOL (100-02-7),"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",KOSHA MSDS §10 실측 반응성 근거 존재(metal),금속,True,TRUE,§10에 구체적 물질군(metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g46)
DIBUTYLTIN-BIS(LAURYL MERCAPTIDE) (1185-81-5),"Organometallics;Sulfides, Inorganic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(49;63)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g49)
SODIUM VANADATE (13718-26-8),"Oxidizing Agents, Weak;Salts, Basic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g51)
DIISOPROPYL PEROXYDICARBONATE (105-64-6),"Peroxides, Organic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|분리 그룹(segregation group) : ",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(53)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g53)
COBALT FLUORIDE (10026-17-2),"Reducing Agents, Weak;Salts, Basic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g59)
SODIUM ALUMINOSILICATE (1344-00-9),"Salts, Basic;Siloxanes",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(61;62)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g61)
BARIUM SELENITE (13718-59-7),Sulfite and Thiosulfate Salts,KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g65)
POTASSIUM HYDROSULFIDE (1310-61-8),"Bases, Weak;Sulfides, Inorganic",KOSHA MSDS §10 실측 반응성 근거 존재(water),물,True,TRUE,§10에 구체적 물질군(water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,shortest_text
"POTASSIUM SULFIDE, HYDRATED, WITH NOT LESS THAN 30% WATER OF CRYSTALLIZATION (1312-73-8)","Sulfides, Inorganic;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(water),물,True,TRUE,§10에 구체적 물질군(water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,shortest_text
"SODIUM SULFIDE, ANHYDROUS (1313-82-2)","Bases, Weak;Sulfides, Inorganic;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(water),물,True,TRUE,§10에 구체적 물질군(water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,shortest_text
AMMONIA (7664-41-7),"Bases, Weak;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(water),물,True,TRUE,§10에 구체적 물질군(water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,shortest_text
PLATINUM (7440-06-4),"Metals, Less Reactive agents",KOSHA MSDS §10 실측 반응성 근거 존재(water),물,True,BORDERLINE,§10에 '물'만 기재되어 있으나 백금은 표준상태에서 물과 반응성이 없는 것으로 알려진 불활성 금속 — 물질-카테고리 대응 자체가 화학적으로 의심스러움,implausible_pairing,shortest_text
"BROMATES, INORGANIC, N.O.S. (15541-45-4)","Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의류 ·(...)· 가연성 물질로부터 격리·보관하시오.
가연성 물질과 혼합되지 않도록 조치하시오.
가연성 물질(나무, 종이, 기름, 의류 등)을 점화할 수 있음
가연성 물질, 환원성 물질
연료",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(50)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,longest_text
STRONTIUM PEROXIDE (1314-18-7),"Bases, Strong;Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|물|연료",True,TRUE,§10에 구체적 물질군(combustible_reducing;water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,longest_text
ZINC PEROXIDE (1314-22-3),"Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|물|연료",True,TRUE,§10에 구체적 물질군(combustible_reducing;water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,longest_text
IODINE PENTAFLUORIDE (7783-66-6),"Halogenating Agents;Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|금속|물",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal;water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,longest_text
"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN (118-52-5)","Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenating Agents;Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|연료",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(7;32;50)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,longest_text
CALCIUM CHLORATE (10137-74-3),"Oxidizing Agents, Strong;Salts, Basic;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|연료",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(50;61;68)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,longest_text
MOLYBDENUM PENTACHLORIDE (10241-05-1),Halogenating Agents,KOSHA MSDS §10 실측 반응성 근거 존재(metal;water),금속|물,True,TRUE,§10에 구체적 물질군(metal;water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,category_combo(metal;water)
MAGNESIUM PERCHLORATE (10034-81-8),"Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|연료",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(50)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,same_group_cluster(g50)
SODIUM PERMANGANATE (10101-50-5),"Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|연료",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(50)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,same_group_cluster(g50)
CALCIUM PERMANGANATE (10118-76-0),"Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질·(…)·과(와) 혼합되지 않도록 조치하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|연료",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(50)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,same_group_cluster(g50)
"ZINC CHLORIDE, ANHYDROUS (7646-85-7)","Acids, Strong Non-oxidizing;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,random_fill
LAUROYL PEROXIDE (105-74-8),"Peroxides, Organic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질(나무, 종이, 기름, 의류 등)|분리 그룹(segregation group) : ",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(53)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,random_fill
"STANNIC CHLORIDE, PENTAHYDRATE (10026-06-9)","Acids, Strong Non-oxidizing",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,random_fill
STRONTIUM CHROMATE (7789-06-2),"Oxidizing Agents, Strong;Salts, Basic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(50;61)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,random_fill
"AMMONIUM BIFLUORIDE, SOLID (1341-49-7)","Fluoride Salts, Soluble;Salts, Acidic;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,random_fill
