query_id,query,cas_a,name_a,cas_b,name_b,wave_a,wave_b,cameo_groups_a,cameo_groups_b,gold_risk_pair,gold_section,query_style,contains_exact_name,contains_exact_cas,involves_review134,difficulty,note,verification_method,human_verified,provenance_tier
indepv2::100-64-1::1191-80-6,CYCLOHEXANONE OXIME랑 MERCURY OLEATE 같이 보관해도 괜찮을까요?,100-64-1,CYCLOHEXANONE OXIME,1191-80-6,MERCURY OLEATE,wave1,wave1,52,34;42;51;61,Compatible,sec::100-64-1::10;sec::100-64-1::2;sec::1191-80-6::10;sec::1191-80-6::2,name_based,True,False,False,,희소그룹 52(Oximes) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::112-02-7::13967-90-3,CAS 112-02-7와 CAS 13967-90-3 두 물질의 반응 위험성을 알려줘.,112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,13967-90-3,BARIUM BROMATE,wave1,wave2,47;57,50,Incompatible,sec::112-02-7::10;sec::112-02-7::2;sec::13967-90-3::10;sec::13967-90-3::2,cas_based,False,True,True,,희소그룹 57(Quaternary Ammonium and Phosphonium Salts) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::1344-00-9::109-59-1,SODIUM ALUMINOSILICATE랑 ETHYLENE GLYCOL ISOPROPYL ETHER 같이 보관해도 괜찮을까요?,1344-00-9,SODIUM ALUMINOSILICATE,109-59-1,ETHYLENE GLYCOL ISOPROPYL ETHER,wave1,wave1,61;62,8;28,Compatible,sec::109-59-1::10;sec::109-59-1::2;sec::1344-00-9::10;sec::1344-00-9::2,name_based,True,False,False,,희소그룹 62(Siloxanes) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-06-4::7783-47-3,CAS 7440-06-4와 CAS 7783-47-3 두 물질의 반응 위험성을 알려줘.,7440-06-4,PLATINUM,7783-47-3,STANNOUS FLUORIDE,wave2,wave2,42,29;58;60,Caution,sec::7440-06-4::10;sec::7440-06-4::2;sec::7783-47-3::10;sec::7783-47-3::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7790-99-0::109-59-1,IODINE MONOCHLORIDE랑 ETHYLENE GLYCOL ISOPROPYL ETHER 같이 보관해도 괜찮을까요?,7790-99-0,IODINE MONOCHLORIDE,109-59-1,ETHYLENE GLYCOL ISOPROPYL ETHER,wave2,wave1,32;50,8;28,Incompatible,sec::109-59-1::10;sec::109-59-1::2;sec::7790-99-0::10;sec::7790-99-0::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7789-00-6::7664-41-7,"CAS번호 7789-00-6, 7664-41-7 조합의 안전성을 검토해줘.",7789-00-6,POTASSIUM CHROMATE,7664-41-7,AMMONIA,wave2,reactive_basics,50;61,19;68,Incompatible,sec::7664-41-7::10;sec::7664-41-7::2;sec::7789-00-6::10;sec::7789-00-6::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::13967-90-3::12002-43-6,BARIUM BROMATE와 GILSONITE를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?,13967-90-3,BARIUM BROMATE,12002-43-6,GILSONITE,wave2,wave1,50,33;35,Incompatible,sec::12002-43-6::10;sec::12002-43-6::2;sec::13967-90-3::10;sec::13967-90-3::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::13765-19-0::7783-47-3,"CAS번호 13765-19-0, 7783-47-3 조합의 안전성을 검토해줘.",13765-19-0,CALCIUM CHROMATE,7783-47-3,STANNOUS FLUORIDE,wave2,wave2,50;61,29;58;60,Incompatible,sec::13765-19-0::10;sec::13765-19-0::2;sec::7783-47-3::10;sec::7783-47-3::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::3025-88-5::7440-23-5,"2,5-DIMETHYL-2,5-DIHYDROPEROXY HEXANE, NOT MORE THAN 82% WITH WATER랑 SODIUM 같이 보관해도 괜찮을까요?",3025-88-5,"2,5-DIMETHYL-2,5-DIHYDROPEROXY HEXANE, NOT MORE THAN 82% WITH WATER",7440-23-5,SODIUM,wave2,wave2,53;68,40,Incompatible,sec::3025-88-5::10;sec::3025-88-5::2;sec::7440-23-5::10;sec::7440-23-5::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7704-34-9::105-60-2,"CAS번호 7704-34-9, 105-60-2 조합의 안전성을 검토해줘.",7704-34-9,"SULFUR, MOLTEN",105-60-2,CAPROLACTAM,wave2,wave1,58,12;56,Incompatible,sec::105-60-2::10;sec::105-60-2::2::p1;sec::105-60-2::2::p2;sec::7704-34-9::10;sec::7704-34-9::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7439-89-6::7727-21-1,"IRON, [POWDERED]와 POTASSIUM PERSULFATE를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?",7439-89-6,"IRON, [POWDERED]",7727-21-1,POTASSIUM PERSULFATE,wave1,wave2,41,50,Incompatible,sec::7439-89-6::10;sec::7439-89-6::2;sec::7727-21-1::10;sec::7727-21-1::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::14452-57-4::7789-29-9,"CAS번호 14452-57-4, 7789-29-9 조합의 안전성을 검토해줘.",14452-57-4,MAGNESIUM PEROXIDE,7789-29-9,POTASSIUM BIFLUORIDE,wave2,wave2,50;61,29;60;68,Incompatible,sec::14452-57-4::10;sec::14452-57-4::2;sec::7789-29-9::10;sec::7789-29-9::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-65-5::117-39-5,실험실에 YTTRIUM와 QUERCETIN가 둘 다 있는데 옆에 놔둬도 되나요?,7440-65-5,YTTRIUM,117-39-5,QUERCETIN,wave2,wave1,41,38;55,Incompatible,sec::117-39-5::10;sec::117-39-5::2;sec::7440-65-5::10;sec::7440-65-5::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7758-01-2::1643-20-5,CAS 7758-01-2와 CAS 1643-20-5 두 물질의 반응 위험성을 알려줘.,7758-01-2,POTASSIUM BROMATE,1643-20-5,DIMETHYLDODECYLAMINE-N-OXIDE,wave2,wave2,50,14;51,Incompatible,sec::1643-20-5::10;sec::1643-20-5::2;sec::7758-01-2::10;sec::7758-01-2::2::p1;sec::7758-01-2::2::p2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::13769-43-2::1312-73-8,"실험실에 POTASSIUM METAVANADATE와 POTASSIUM SULFIDE, HYDRATED, WITH NOT LESS THAN 30% WATER OF CRYSTALLIZATION가 둘 다 있는데 옆에 놔둬도 되나요?",13769-43-2,POTASSIUM METAVANADATE,1312-73-8,"POTASSIUM SULFIDE, HYDRATED, WITH NOT LESS THAN 30% WATER OF CRYSTALLIZATION",wave2,wave2,51;61,63;68,Incompatible,sec::1312-73-8::10;sec::1312-73-8::2;sec::13769-43-2::10;sec::13769-43-2::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-33-7::100-51-6,"CAS번호 7440-33-7, 100-51-6 조합의 안전성을 검토해줘.",7440-33-7,TUNGSTEN,100-51-6,BENZYL ALCOHOL,wave2,wave1,42,8,Compatible,sec::100-51-6::10;sec::100-51-6::2;sec::7440-33-7::10;sec::7440-33-7::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::1341-49-7::10034-81-8,"실험실에 AMMONIUM BIFLUORIDE, SOLID와 MAGNESIUM PERCHLORATE가 둘 다 있는데 옆에 놔둬도 되나요?",1341-49-7,"AMMONIUM BIFLUORIDE, SOLID",10034-81-8,MAGNESIUM PERCHLORATE,wave2,wave1,29;60;68,50,Incompatible,sec::10034-81-8::10;sec::10034-81-8::2;sec::1341-49-7::10;sec::1341-49-7::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::12031-80-0::7446-70-0,"CAS번호 12031-80-0, 7446-70-0 조합의 안전성을 검토해줘.",12031-80-0,LITHIUM PEROXIDE,7446-70-0,"ALUMINUM CHLORIDE, ANHYDROUS",wave1,wave2,18;50,3;32;68,Incompatible,sec::12031-80-0::10;sec::12031-80-0::2;sec::7446-70-0::10;sec::7446-70-0::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7631-90-5::13765-19-0,실험실에 SODIUM BISULFITE와 CALCIUM CHROMATE가 둘 다 있는데 옆에 놔둬도 되나요?,7631-90-5,SODIUM BISULFITE,13765-19-0,CALCIUM CHROMATE,wave2,wave2,65;68,50;61,Incompatible,sec::13765-19-0::10;sec::13765-19-0::2;sec::7631-90-5::10;sec::7631-90-5::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-02-0::3025-88-5,"CAS번호 7440-02-0, 3025-88-5 조합의 안전성을 검토해줘.",7440-02-0,NICKEL,3025-88-5,"2,5-DIMETHYL-2,5-DIHYDROPEROXY HEXANE, NOT MORE THAN 82% WITH WATER",wave1,wave2,41,53;68,Incompatible,sec::3025-88-5::10;sec::3025-88-5::2;sec::7440-02-0::10;sec::7440-02-0::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::10361-95-2::151-50-8,ZINC CHLORATE와 POTASSIUM CYANIDE를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?,10361-95-2,ZINC CHLORATE,151-50-8,POTASSIUM CYANIDE,wave2,wave2,50,19;24;68,Incompatible,sec::10361-95-2::10;sec::10361-95-2::2;sec::151-50-8::10;sec::151-50-8::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7783-18-8::108-24-7,"CAS번호 7783-18-8, 108-24-7 조합의 안전성을 검토해줘.",7783-18-8,AMMONIUM THIOSULFATE,108-24-7,ACETIC ANHYDRIDE,wave2,wave1,60;65;68,15,Incompatible,sec::108-24-7::10;sec::108-24-7::2;sec::7783-18-8::10;sec::7783-18-8::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7789-29-9::13774-25-9,POTASSIUM BIFLUORIDE와 MAGNESIUM BISULFITE SOLUTION를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?,7789-29-9,POTASSIUM BIFLUORIDE,13774-25-9,MAGNESIUM BISULFITE SOLUTION,wave2,wave1,29;60;68,65;68,Incompatible,sec::13774-25-9::10;sec::13774-25-9::2;sec::7789-29-9::10;sec::7789-29-9::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::110-13-4::540-72-7,CAS 110-13-4와 CAS 540-72-7 두 물질의 반응 위험성을 알려줘.,110-13-4,"2,5-HEXANEDIONE",540-72-7,SODIUM THIOCYANATE,wave1,wave2,38,58;61;68,Incompatible,sec::110-13-4::10;sec::110-13-4::2;sec::540-72-7::10;sec::540-72-7::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::1314-62-1::2691-41-0,"VANADIUM PENTOXIDE와 CYCLOTETRAMETHYLENE TETRANITRAMINE, [WET WITH &gt;= 10% WATER]를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?",1314-62-1,VANADIUM PENTOXIDE,2691-41-0,"CYCLOTETRAMETHYLENE TETRANITRAMINE, [WET WITH &gt;= 10% WATER]",wave2,wave2,50;60,17;46;68,Incompatible,sec::1314-62-1::10;sec::1314-62-1::2::p1;sec::1314-62-1::2::p2;sec::2691-41-0::10;sec::2691-41-0::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7789-69-7::831-52-7,CAS 7789-69-7와 CAS 831-52-7 두 물질의 반응 위험성을 알려줘.,7789-69-7,PHOSPHORUS PENTABROMIDE,831-52-7,SODIUM PICRAMATE,wave2,wave2,3;32;50,13;46;54;68,Incompatible,sec::7789-69-7::10;sec::7789-69-7::2;sec::831-52-7::10;sec::831-52-7::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::10137-74-3::13769-43-2,CALCIUM CHLORATE와 POTASSIUM METAVANADATE를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?,10137-74-3,CALCIUM CHLORATE,13769-43-2,POTASSIUM METAVANADATE,wave2,wave2,50;61;68,51;61,Incompatible,sec::10137-74-3::10;sec::10137-74-3::2;sec::13769-43-2::10;sec::13769-43-2::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-70-2::123-01-3,"CAS번호 7440-70-2, 123-01-3 조합의 안전성을 검토해줘.",7440-70-2,CALCIUM,123-01-3,DODECYLBENZENE,wave2,wave1,41,33;35,Compatible,sec::123-01-3::10;sec::123-01-3::2;sec::7440-70-2::10;sec::7440-70-2::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7783-66-6::14708-14-6,IODINE PENTAFLUORIDE와 NICKEL FLUOROBORATE를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?,7783-66-6,IODINE PENTAFLUORIDE,14708-14-6,NICKEL FLUOROBORATE,wave2,wave2,32;50,47;68,Incompatible,sec::14708-14-6::10;sec::14708-14-6::2;sec::7783-66-6::10;sec::7783-66-6::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::516-03-0::105-59-9,CAS 516-03-0와 CAS 105-59-9 두 물질의 반응 위험성을 알려줘.,516-03-0,FERROUS OXALATE,105-59-9,METHYLDIETHANOLAMINE,wave2,wave1,59;61,8;14,Caution,sec::105-59-9::10;sec::105-59-9::2;sec::516-03-0::10;sec::516-03-0::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7727-21-1::7783-66-6,POTASSIUM PERSULFATE랑 IODINE PENTAFLUORIDE 같이 보관해도 괜찮을까요?,7727-21-1,POTASSIUM PERSULFATE,7783-66-6,IODINE PENTAFLUORIDE,wave2,wave2,50,32;50,Incompatible,sec::7727-21-1::10;sec::7727-21-1::2;sec::7783-66-6::10;sec::7783-66-6::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::1304-29-6::100-73-2,"CAS번호 1304-29-6, 100-73-2 조합의 안전성을 검토해줘.",1304-29-6,BARIUM PEROXIDE,100-73-2,"ACROLEIN DIMER, STABILIZED",wave2,wave1,50;61,9;28;34;56,Incompatible,sec::100-73-2::10;sec::100-73-2::2;sec::1304-29-6::10;sec::1304-29-6::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7772-99-8::14519-17-6,"STANNOUS CHLORIDE, SOLID와 MAGNESIUM BROMATE를 함께 취급해도 되는가? 혼합 시 위험성과 유의사항은?",7772-99-8,"STANNOUS CHLORIDE, SOLID",14519-17-6,MAGNESIUM BROMATE,wave2,wave2,58;60,50,Incompatible,sec::14519-17-6::10;sec::14519-17-6::2;sec::7772-99-8::10;sec::7772-99-8::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-21-3::1120-71-4,"CAS번호 7440-21-3, 1120-71-4 조합의 안전성을 검토해줘.",7440-21-3,"SILICON POWDER, AMORPHOUS",1120-71-4,PROPANE SULTONE,wave1,wave1,41,4;66,Incompatible,sec::1120-71-4::10;sec::1120-71-4::2;sec::7440-21-3::10;sec::7440-21-3::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::1314-18-7::14519-07-4,실험실에 STRONTIUM PEROXIDE와 ZINC BROMATE가 둘 다 있는데 옆에 놔둬도 되나요?,1314-18-7,STRONTIUM PEROXIDE,14519-07-4,ZINC BROMATE,wave2,wave2,18;50,50,Incompatible,sec::1314-18-7::10;sec::1314-18-7::2;sec::14519-07-4::10;sec::14519-07-4::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::16961-83-4::7631-90-5,CAS 16961-83-4와 CAS 7631-90-5 두 물질의 반응 위험성을 알려줘.,16961-83-4,FLUOROSILICIC ACID,7631-90-5,SODIUM BISULFITE,wave2,wave2,3;29;68,65;68,Incompatible,sec::16961-83-4::10;sec::16961-83-4::2;sec::7631-90-5::10;sec::7631-90-5::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::1314-22-3::592-87-0,실험실에 ZINC PEROXIDE와 LEAD THIOCYANATE가 둘 다 있는데 옆에 놔둬도 되나요?,1314-22-3,ZINC PEROXIDE,592-87-0,LEAD THIOCYANATE,wave2,wave2,50,58;61,Incompatible,sec::1314-22-3::10;sec::1314-22-3::2;sec::592-87-0::10;sec::592-87-0::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7790-98-9::5470-11-1,CAS 7790-98-9와 CAS 5470-11-1 두 물질의 반응 위험성을 알려줘.,7790-98-9,AMMONIUM PERCHLORATE,5470-11-1,HYDROXYLAMINE HYDROCHLORIDE,wave2,wave2,50;60,58;60,Incompatible,sec::5470-11-1::10;sec::5470-11-1::2::p1;sec::5470-11-1::2::p2;sec::7790-98-9::10;sec::7790-98-9::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-31-5::8049-17-0,실험실에 TIN와 FERROSILICON가 둘 다 있는데 옆에 놔둬도 되나요?,7440-31-5,TIN,8049-17-0,FERROSILICON,wave2,wave2,42,41,Caution,sec::7440-31-5::10;sec::7440-31-5::2;sec::8049-17-0::10;sec::8049-17-0::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-28-0::7439-93-2,"CAS번호 7440-28-0, 7439-93-2 조합의 안전성을 검토해줘.",7440-28-0,THALLIUM,7439-93-2,LITHIUM,wave2,wave1,42,40,Caution,sec::7439-93-2::10;sec::7439-93-2::2;sec::7440-28-0::10;sec::7440-28-0::2::p1;sec::7440-28-0::2::p2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7791-10-8::15699-18-0,STRONTIUM CHLORATE랑 NICKEL AMMONIUM SULFATE 같이 보관해도 괜찮을까요?,7791-10-8,STRONTIUM CHLORATE,15699-18-0,NICKEL AMMONIUM SULFATE,wave2,wave2,50,51;60,Incompatible,sec::15699-18-0::10;sec::15699-18-0::2::p1;sec::15699-18-0::2::p2;sec::7791-10-8::10;sec::7791-10-8::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7789-61-9::21351-79-1,"CAS번호 7789-61-9, 21351-79-1 조합의 안전성을 검토해줘.",7789-61-9,ANTIMONY TRIBROMIDE,21351-79-1,CESIUM HYDROXIDE,wave2,wave2,3;32;50,18;68,Incompatible,sec::21351-79-1::10;sec::21351-79-1::2;sec::7789-61-9::10;sec::7789-61-9::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::7783-35-9::7446-08-4,MERCURIC SULFATE랑 SELENIUM DIOXIDE 같이 보관해도 괜찮을까요?,7783-35-9,MERCURIC SULFATE,7446-08-4,SELENIUM DIOXIDE,wave2,wave2,42;60,50,Incompatible,sec::7446-08-4::10;sec::7446-08-4::2::p1;sec::7446-08-4::2::p2;sec::7783-35-9::10;sec::7783-35-9::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::546-67-8::1313-82-2,CAS 546-67-8와 CAS 1313-82-2 두 물질의 반응 위험성을 알려줘.,546-67-8,LEAD TETRAACETATE,1313-82-2,"SODIUM SULFIDE, ANHYDROUS",wave2,wave1,50,19;63;68,Incompatible,sec::1313-82-2::10;sec::1313-82-2::2;sec::546-67-8::10;sec::546-67-8::2,cas_based,False,True,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
indepv2::87-90-1::105-60-2,"실험실에 TRICHLORO-S-TRIAZINETRIONE, DRY와 CAPROLACTAM가 둘 다 있는데 옆에 놔둬도 되나요?",87-90-1,"TRICHLORO-S-TRIAZINETRIONE, DRY",105-60-2,CAPROLACTAM,wave2,wave1,7;32;50;60,12;56,Incompatible,sec::105-60-2::10;sec::105-60-2::2::p1;sec::105-60-2::2::p2;sec::87-90-1::10;sec::87-90-1::2,name_based,True,False,True,,PHASE6 REVIEW 물질 판단 근거 확보용,rule_based_self_check,False,DIAGNOSTIC
